 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,109790,3,4,26,11601,20,0,8.666666667,10.26320288,10135,0,2900.25,4871.82583,105902.1769,63.75808361,18298.33333,34026.11084,85021,73,24487,12243.5,16520.13573,23925,562,109717,36572.33333,43682.38072,85021,195,0,0,0,0,72,92,27.32489298,36.43319064,0,10135,1453.375,3544.652026,12600000.0,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,184861,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,64.91363781,10.81893964,184861.0,0.0,184861,184861,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,5.409469818,5.409469818,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,64240,15544,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,422187,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,27554.1407,21.31756781,52773.375,148875.8674,421222,2,779,389.5,440.5275247,701,78,422122,84424.4,188275.8747,421222,2,0,0,0,0,72,132,7.105855936,14.21171187,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,24585,2,2,64,152,32,32,32.0,0.0,76,76,76.0,0.0,8785.845027,162.7008338,8195.0,14189.82632,24580,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,81.35041692,81.35041692,32,76,49.6,24.09979253,580.8,0,0,0,0,0,0,0,0,1,62.0,32.0,76.0,64,0,0,0,0,0,0,2,64,2,152,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,2087994,9,9,1732,3835,1373,0,192.4444444,448.4807998,1608,0,426.1111111,668.2534034,2666.195401,8.620714427,122823.1765,351742.2407,1460475,3,2087994,260999.25,492805.4377,1460475,26445,484605,60575.625,111377.2741,321811,3,0,0,0,0,192,188,4.310357214,4.310357214,0,1608,293.0,553.6695766,306550.0,0,0,0,1,0,0,0,0,1,309.2777778,192.4444444,426.1111111,192,0,0,0,0,0,0,9,1732,9,3835,8192,6082,8,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,196,2,2,70,174,35,35,35.0,0.0,87,87,87.0,0.0,1244897.959,20408.16327,65.33333333,106.2324495,188,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,10204.08163,10204.08163,35,87,55.8,28.48157299,811.2,0,0,0,0,0,0,0,0,1,69.75,35.0,87.0,40,0,0,0,0,0,0,2,70,2,174,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,214,2,2,64,188,32,32,32.0,0.0,94,94,94.0,0.0,1177570.093,18691.58879,71.33333333,40.41451884,118,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,80,80,9345.794393,9345.794393,32,94,56.8,33.95879857,1153.2,0,0,0,0,0,0,0,0,1,71.0,32.0,94.0,80,0,0,0,0,0,0,2,64,2,188,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,6504461,9,8,387,3504,200,0,43.0,71.04224096,1460,0,438.0,654.8742518,598.204832,2.613590888,406528.8125,1410295.685,5691736,3,6504461,813057.625,1972343.447,5691736,3,612661,87523.0,108284.1663,209168,191,0,0,0,0,192,168,1.383665764,1.229925124,0,1460,216.1666667,469.8364233,220746.2647,0,0,0,1,0,0,0,0,0,228.8823529,43.0,438.0,192,0,0,0,0,0,0,9,387,8,3504,8192,4706,8,20,812722.0,0.0,812722,812722,5691736.0,0.0,5691736,5691736,BENIGN
53,72480,2,2,56,202,28,28,28.0,0.0,101,101,101.0,0.0,3559.602649,55.18763797,24160.0,41842.88342,72476,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,80,40,27.59381898,27.59381898,28,101,57.2,39.9837467,1598.7,0,0,0,0,0,0,0,0,1,71.5,28.0,101.0,80,0,0,0,0,0,0,2,56,2,202,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
139,64706,49,30,2488,3188,194,0,50.7755102,65.99850545,440,0,106.2666667,130.7039121,87719.84051,1220.906871,829.5641026,4930.297506,42335,1,64706,1348.041667,7054.315697,48197,1,64325,2218.103448,8020.477521,42496,47,0,0,0,0,1592,976,757.2713504,463.6355207,0,440,70.95,98.52685813,9707.541772,0,0,0,1,0,0,0,0,0,71.84810127,50.7755102,106.2666667,1592,0,0,0,0,0,0,49,2488,30,3188,65535,269,22,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,9138821,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.282699158,0.547116526,2284705.25,4566072.443,9133813,1,9138821,2284705.25,4566072.443,9133813,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.547116526,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,5008.0,0.0,5008,5008,9133813.0,0.0,9133813,9133813,DDoS
54577,71719640,7,9,12976,56,4380,0,1853.714286,1618.460659,20,0,6.222222222,5.783117191,181.707549,0.223090913,4781309.333,17200000.0,66700000,0,71700000,12000000.0,29300000.0,71700000,16,71700000,8963122.25,23400000.0,66700000,0,1,0,0,0,152,204,0.097602275,0.125488639,0,4380,847.4705882,1356.742842,1840751.14,0,1,0,0,1,1,0,0,1,900.4375,1853.714286,6.222222222,152,0,0,0,0,0,0,7,12976,9,56,229,256,5,20,4939160.0,0.0,4939160,4939160,66700000.0,0.0,66700000,66700000,BENIGN
80,70799494,9,5,62,11607,20,0,6.888888889,5.30199124,7215,0,2321.4,3327.769794,164.8175621,0.197741526,5446114.923,18800000.0,68000000,1,70100000,8760964.25,24000000.0,68000000,1,712516,178129.0,355559.472,711468,98,0,0,0,0,192,112,0.127119553,0.070621974,0,7215,778.3333333,2107.034872,4439595.952,0,0,0,0,1,0,0,0,0,833.9285714,6.888888889,2321.4,192,0,0,0,0,0,0,9,62,5,11607,256,229,7,20,2060008.0,0.0,2060008,2060008,68000000.0,0.0,68000000,68000000,DDoS
80,827140,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1998.0254,14056.87066,10.8808666,103392.5,289231.2493,819179,36,7338,3669.0,4723.473298,7009,329,827104,165420.8,365475.0894,819179,157,0,0,0,0,72,132,3.626955534,7.253911067,0,4380,1162.7,1791.113375,3208087.122,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53643,71256175,5,10,11613,68,11595,0,2322.6,5183.42983,20,0,6.8,5.006662228,163.9296524,0.210508072,5089726.786,17100000.0,64200000,1,71300000,17800000.0,34900000.0,70200000,183,70200000,7799181.889,21300000.0,64200000,1,0,0,0,0,112,212,0.070169357,0.140338715,0,11595,730.4375,2897.219747,8393882.263,0,0,0,0,1,1,0,0,2,779.1333333,2322.6,6.8,112,0,0,0,0,0,0,5,11613,10,68,229,256,3,20,13597.0,0.0,13597,13597,35100000.0,41200000.0,64200000,5941619,BENIGN
80,12039684,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.491759751,0.415293292,3009921.0,6017178.13,12000000,4,12000000,3009921.0,6017178.13,12000000,4,0,0.0,0.0,0,0,0,0,0,0,100,0,0.415293292,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3996.0,0.0,3996,3996,12000000.0,0.0,12000000,12000000,DDoS
80,1571783,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,7401.148886,5.089761118,224540.4286,593400.9051,1570247,5,1146,573.0,707.1067812,1073,73,1571657,392914.25,784888.6778,1570247,5,0,0,0,0,72,112,1.908660419,3.181100699,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
443,4083737,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,44.32214905,1.46924251,816747.4,1746713.798,3940887,92,4083737,1020934.25,1947413.985,3940887,92,0,0.0,0.0,0,0,1,0,0,0,100,20,1.224368758,0.244873752,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,254,23,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
18734,142,3,2,2071,12,1460,6,690.3333333,730.746422,6,6,6.0,0.0,14700000.0,35211.26761,35.5,43.82160806,95,2,142,71.0,97.5807358,140,2,3,3.0,0.0,3,3,0,0,0,0,60,40,21126.76056,14084.50704,6,1460,590.5,712.3470362,507438.3,0,0,0,0,1,0,0,0,0,708.6,690.3333333,6.0,60,0,0,0,0,0,0,3,2071,2,12,256,389,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,73433741,8,6,56,11607,20,0,7.0,5.656854249,4380,0,1934.5,2177.344966,158.8234487,0.190648056,5648749.308,18400000.0,66800000,1,71700000,10200000.0,25000000.0,66800000,1,1752709,350541.8,783413.8476,1751955,4,0,0,0,0,172,132,0.108941747,0.08170631,0,4380,777.9333333,1627.46176,2648631.781,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,4909907.0,0.0,4909907,4909907,66800000.0,0.0,66800000,66800000,DDoS
80,133827,3,4,26,11601,20,0,8.666666667,10.26320288,7215,0,2900.25,3540.00286,86880.82375,52.30633579,22304.5,48659.92738,121171,24,12471,6235.5,8136.677731,11989,482,133721,44573.66667,66616.39889,121171,161,0,0,0,0,72,92,22.41700105,29.88933474,0,7215,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,16037644,10,9,2487,853,650,0,248.7,315.0301749,208,0,94.77777778,106.7189976,208.2600162,1.184712667,890980.2222,2522137.614,9983978,22,11300000,1252508.778,3275650.971,9983978,106,15800000,1979240.625,3709964.435,10200000,862,0,0,0,0,220,192,0.623532983,0.561179684,0,650,167.0,243.428364,59257.36842,0,0,0,1,0,0,0,0,0,175.7894737,248.7,94.77777778,220,0,0,0,0,0,0,10,2487,9,853,29200,154,9,20,1068232.0,0.0,1068232,1068232,9983978.0,0.0,9983978,9983978,BENIGN
52847,1070082,1,6,6,36,6,6,6.0,0.0,6,6,6.0,0.0,39.24932856,6.541554759,178347.0,419752.8885,1034961,3,0,0.0,0.0,0,0,1045987,209197.4,461630.2692,1034961,3,0,0,0,0,20,120,0.934507823,5.607046937,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,6,6.857142857,6.0,6.0,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,73901632,8,5,56,11607,20,0,7.0,5.656854249,10135,0,2321.4,4413.201989,157.817895,0.175909512,6158469.333,20700000.0,71900000,1,73700000,10500000.0,27100000.0,71900000,1,162899,40724.75,80721.06963,161805,4,0,0,0,0,172,112,0.108252007,0.067657505,0,10135,833.5,2705.044255,7317264.423,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,1871121.0,0.0,1871121,1871121,71900000.0,0.0,71900000,71900000,DDoS
443,5300961,8,4,368,2772,187,0,46.0,70.73289798,2713,2,693.0,1346.849905,592.3454257,2.26374048,481905.5455,1461160.353,4885579,3,5300961,757280.1429,1821616.256,4885579,3,222492,74164.0,64645.27,129880,3285,0,0,0,0,172,84,1.50916032,0.75458016,0,2713,241.5384615,744.789077,554710.7692,0,0,0,1,0,0,0,0,0,261.6666667,46.0,693.0,172,0,0,0,0,0,0,8,368,4,2772,8192,30016,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
16133,2774943,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,12.97323945,2.162206575,554988.6,1234279.593,2762926,3,0,0.0,0.0,0,0,2765939,691484.75,1380961.075,2762926,3,0,0,0,0,20,100,0.360367763,1.801838813,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,82610,1,1,64,117,64,64,64.0,0.0,117,117,117.0,0.0,2191.018037,24.21014405,82610.0,0.0,82610,82610,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,12.10507203,12.10507203,64,117,81.66666667,30.59956427,936.3333333,0,0,0,0,0,0,0,0,1,122.5,64.0,117.0,20,0,0,0,0,0,0,1,64,1,117,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5700669,8,5,620,2725,342,0,77.5,126.6423536,1400,0,545.0,712.0519644,586.7732366,2.280434103,475055.75,1543001.643,5373625,45,5700669,814381.2857,2010901.569,5373625,48,193675,48418.75,58373.87396,118030,162,0,0,0,0,172,112,1.403344064,0.87709004,0,1400,238.9285714,470.2126302,221099.9176,0,0,0,1,0,0,0,0,0,257.3076923,77.5,545.0,172,0,0,0,0,0,0,8,620,5,2725,8192,11256,7,20,326996.0,0.0,326996,326996,5373625.0,0.0,5373625,5373625,BENIGN
80,20067,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,579707.9783,448.4975333,2508.375,6758.405263,19231,4,504,252.0,288.4995667,456,48,20022,4004.4,8514.098326,19231,4,0,0,0,0,72,132,149.4991778,298.9983555,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,1274808,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,9120.58914,6.275454814,182115.4286,478333.6498,1266858,9,7264,3632.0,5000.659157,7168,96,1274799,318699.75,632114.0855,1266858,195,0,0,0,0,72,112,2.353295555,3.922159258,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,48654,1,1,49,65,49,49,49.0,0.0,65,65,65.0,0.0,2343.075595,41.10658939,48654.0,0.0,48654,48654,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20.55329469,20.55329469,49,65,54.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,81.5,49.0,65.0,32,0,0,0,0,0,0,1,49,1,65,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,185984,1,1,54,109,54,54,54.0,0.0,109,109,109.0,0.0,876.4194769,10.75361321,185984.0,0.0,185984,185984,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,5.376806607,5.376806607,54,109,72.33333333,31.75426481,1008.333333,0,0,0,0,0,0,0,0,1,108.5,54.0,109.0,20,0,0,0,0,0,0,1,54,1,109,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1066359,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,10903.45747,8.439934394,133294.875,368488.3837,1045085,3,20955,10477.5,14813.17996,20952,3,1065978,213195.6,465125.4571,1045085,16,0,0,0,0,72,132,2.813311465,5.626622929,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,71299623,8,4,56,11607,20,0,7.0,5.656854249,11595,0,2901.75,5795.50069,163.5773025,0.168303835,6481783.909,20800000.0,69200000,1,71300000,10200000.0,26000000.0,69200000,1,31801,10600.33333,17508.07689,30809,6,0,0,0,0,172,92,0.112202557,0.056101278,0,11595,897.6153846,3214.167532,10300000.0,0,0,0,0,1,0,0,0,0,972.4166667,7.0,2901.75,172,0,0,0,0,0,0,8,56,4,11607,256,229,6,20,2038001.0,0.0,2038001,2038001,69200000.0,0.0,69200000,69200000,DDoS
