id,text,relations,diagnosis,solutions,id_1,label_1,start_offset_1,end_offset_1,id_2,label_2,start_offset_2,end_offset_2,id_3,label_3,start_offset_3,end_offset_3
4577,Recently observed COLDRIVER indicators: In another campaign tracked by CERT-UA as UAC-0056 we observed compromised email addresses of a Regional Prosecutor’s office of Ukraine leveraged to send malicious Microsoft Excel documents with VBA macros delivering Cobalt Strike.,"[{'from_id': 50423, 'id': 969, 'to_id': 50425, 'type': 'duplicate-of'}, {'from_id': 50423, 'id': 970, 'to_id': 50426, 'type': 'impersonates'}]",Compromised email addresses of a Regional Prosecutor’s office of Ukraine were leveraged by a threat actor to send malicious Microsoft Excel documents with VBA macros delivering Cobalt Strike. The threat actor impersonated an identity and duplicated another threat actor. The attack,1. Implement multi-factor authentication (MFA) for email accounts to prevent unauthorized access. 2. Conduct regular security awareness training for employees to educate them on how to identify and avoid phishing emails. 3. Use email filtering solutions to detect and block malicious emails before they reach employees' inboxes. 4. Implement endpoint protection solutions that can detect and block Cobalt Strike and other malware. 5. Monitor network traffic for suspicious activity and implement intrusion detection and prevention systems (IDPS) to alert on potential,50428,tools,257,270,50424,identity,71,78,50425,threat-actor,82,90
5230,We named these malicious apps AnubisSpy (ANDROIDOS_ANUBISSPY) as all the malware’s payload is a package called watchdog.,"[{'from_id': 51262, 'id': 1072, 'to_id': 16073, 'type': 'duplicate-of'}]","The diagnosis is a case of malware infection, specifically the AnubisSpy (ANDROIDOS_ANUBISSPY) malware, affecting multiple entities identified in the input. The relationship between the entities is that they are all instances of the same malware, with",1. Conduct regular and thorough malware scans on all devices and networks to detect and remove any instances of the AnubisSpy malware.  2. Implement strong access controls and authentication measures to prevent unauthorized access to sensitive data and systems.  3. Educate employees and users on safe browsing practices and the risks of downloading and installing unknown apps or software.  4. Use network segmentation and firewalls to isolate infected devices or networks and prevent the spread of the malware.  5. Keep all software and operating systems up,51263,malware,111,119,51262,malware,41,60,16073,malware,30,39
3788,"At the time, we found ChessMaster targeting different sectors from the academe to media and government agencies in Japan.","[{'from_id': 49628, 'id': 851, 'to_id': 49629, 'type': 'targets'}, {'from_id': 49629, 'id': 852, 'to_id': 49630, 'type': 'located-at'}]","Diagnosis: A targeted cyber espionage campaign (ChessMaster) is being conducted against various sectors including academia, media, and government agencies in Japan. The identity of the attacker is unknown. The attacker is located in Japan.","1. Implement network segmentation to isolate critical systems and data from the rest of the network, limiting the attacker's ability to move laterally. 2. Deploy advanced threat detection and response tools to identify and respond to potential threats in real-time. 3. Conduct regular vulnerability assessments and penetration testing to identify and remediate vulnerabilities in the network. 4. Implement multi-factor authentication for all users to prevent unauthorized access to sensitive systems and data. 5. Train employees on cybersecurity best practices and the risks associated with targeted",49628,campaign,22,33,49629,identity,71,111,49630,location,115,120
3833,Base64 encoded ANEL downloaded by Koadic ANEL will send the infected environment’s information to the C&C server.,"[{'from_id': 49690, 'id': 860, 'to_id': 49689, 'type': 'downloads'}, {'from_id': 49691, 'id': 861, 'to_id': 49692, 'type': 'exfiltrates-to'}]","The entity has been infected by the ANEL malware, which is capable of downloading and exfiltrating information to a C&C server. The malware is part of an infrastructure that facilitates the attack.",1. Implement strong network segmentation to prevent the spread of the malware to other parts of the network. 2. Install and regularly update anti-malware software on all devices to detect and remove the ANEL malware. 3. Deploy a network intrusion detection system (NIDS) to monitor network traffic and detect any suspicious activity related to the malware. 4. Conduct regular security awareness training for employees to prevent them from falling victim to phishing attacks that may lead to the installation of the ANEL malware. 5,49689,malware,15,19,49690,malware,34,40,49691,malware,41,45
4830,Recently observed COLDRIVER indicators: In another campaign tracked by CERT-UA as UAC-0056 we observed compromised email addresses of a Regional Prosecutor’s office of Ukraine leveraged to send malicious Microsoft Excel documents with VBA macros delivering Cobalt Strike.,"[{'from_id': 14713, 'id': 1015, 'to_id': 14710, 'type': 'duplicate-of'}, {'from_id': 14710, 'id': 1016, 'to_id': 50784, 'type': 'targets'}, {'from_id': 14710, 'id': 1017, 'to_id': 50785, 'type': 'uses'}, {'from_id': 14710, 'id': 1018, 'to_id': 50786, 'type': 'uses'}]",Compromised email addresses of a Regional Prosecutor's office of Ukraine were used by a threat actor to deliver malicious Microsoft Excel documents with VBA macros delivering Cobalt Strike. The threat actor used tools to carry out the attack. The Regional Prosecutor's office,1. Implementing multi-factor authentication (MFA) for email accounts to prevent unauthorized access. 2. Conducting regular security awareness training for employees to educate them on phishing attacks and other cybersecurity threats. 3. Installing anti-malware software on all devices to detect and prevent malicious software from being installed. 4. Regularly monitoring network traffic for suspicious activity and implementing intrusion detection and prevention systems. 5. Conducting regular vulnerability assessments and penetration testing to identify and address potential weaknesses in the network. 6,50783,identity,71,78,50785,SOFTWARE,204,219,50786,tools,257,270
4626,"As part of TAG's mission to counter serious threats to Google and our users, we've analyzed a range of persistent threats including APT35 and Charming Kitten, an Iranian government-backed group that regularly targets high risk users.","[{'from_id': 50538, 'id': 980, 'to_id': 50540, 'type': 'located-at'}, {'from_id': 50539, 'id': 981, 'to_id': 50540, 'type': 'located-at'}]","Diagnosis: APT35 and Charming Kitten, two threat actors associated with the Iranian government, are targeting high risk users of Google. The location of the threat actors is identified as Iran. The cybersecurity issue is the persistent threat to Google and","1. Implementing multi-factor authentication for high-risk Google users to prevent unauthorized access. 2. Conducting regular security assessments and penetration testing to identify and address vulnerabilities in Google's systems. 3. Deploying intrusion detection and prevention systems to detect and block malicious activity from APT35 and Charming Kitten. 4. Implementing network segmentation to limit the spread of any potential breaches and minimize the impact of a successful attack. 5. Educating high-risk Google users on best practices for cybersecurity, such",50537,identity,55,61,50538,threat-actor,132,137,50539,threat-actor,142,157
3392,BIOPASS RAT Loader  Backdoor.Win64.BIOPASS.A  36e3fcd6a4c7c9db985be77ea6394b2ed019332fdae4739df2f96a541ea52617  Silverlight.exe,"[{'from_id': 10242, 'id': 596, 'to_id': 49045, 'type': 'duplicate-of'}, {'from_id': 49046, 'id': 597, 'to_id': 10243, 'type': 'duplicate-of'}, {'from_id': 49046, 'id': 598, 'to_id': 49045, 'type': 'indicates'}, {'from_id': 10243, 'id': 599, 'to_id': 49045, 'type': 'indicates'}]",The diagnosis is a cybersecurity threat caused by the BIOPASS RAT Loader backdoor malware (Backdoor.Win64.BIOPASS.A) found in the Silverlight.exe file. The relationship between the entities indicates that the hash of the malware matches the,"1. Install and regularly update antivirus software to detect and remove the BIOPASS RAT Loader backdoor malware.  2. Implement a firewall to monitor and block unauthorized access to the network and prevent the malware from communicating with its command and control (C&C) server.  3. Conduct regular vulnerability scans and penetration testing to identify and address any weaknesses in the network that could be exploited by the malware.  4. Use application whitelisting to limit the execution of unauthorized software, including the Silverlight.exe file",10242,malware,0,11,10243,hash,46,110,49045,malware,20,44
4497,"The actors behind this campaign, which we attributed to a government-backed entity based in North Korea, have employed a number of means to target researchers.","[{'from_id': 50299, 'id': 942, 'to_id': 50300, 'type': 'attributed-to'}]",Diagnosis: State-sponsored cyber espionage Entity: Government-backed entity based in North Korea Relationship: Attributed-to the campaign targeting researchers,"1. Implementing strong network security measures such as firewalls, intrusion detection systems, and data encryption to prevent unauthorized access to sensitive information. 2. Conducting regular security audits and vulnerability assessments to identify and address any potential weaknesses in the system. 3. Implementing two-factor authentication and other access control measures to ensure that only authorized personnel can access sensitive information. 4. Educating employees on cybersecurity best practices and the risks of phishing attacks and social engineering tactics used by state-sponsored entities. 5. Collabor",50299,campaign,23,31,50300,location,92,103,,,,
3748," CVE-2022-22954, a remote code execution (RCE) vulnerability due to server-side template injection in VMware Workspace ONE Access and Identity Manager, is trivial to exploit with a single HTTP request to a vulnerable device.","[{'from_id': 49575, 'id': 830, 'to_id': 49572, 'type': 'has'}, {'from_id': 49572, 'id': 831, 'to_id': 49573, 'type': 'uses'}, {'from_id': 49572, 'id': 832, 'to_id': 49574, 'type': 'uses'}]",The diagnosis is a critical cybersecurity issue caused by a remote code execution (RCE) vulnerability in VMware Workspace ONE Access and Identity Manager (SOFTWARE). This vulnerability (CVE-2022-22954) can be easily exploited with a single HTTP request and,1. Update to the latest version of the affected software as soon as possible to patch the vulnerability.  2. Implement network segmentation to prevent unauthorized access to critical systems and data.  3. Use intrusion detection and prevention systems to detect and block any attempts to exploit the vulnerability.  4. Implement strong access controls and authentication mechanisms to limit access to sensitive data and systems.  5. Conduct regular vulnerability assessments and penetration testing to identify and address any potential security weaknesses.  6. Train employees on cybersecurity best practices and encourage,49573,attack-pattern,19,46,49574,attack-pattern,68,98,49572,vulnerability,1,15
3661,"MITRE also identifies different main targets for each group: While Carbanak focuses on banking institutions, FIN7 targets food, hospitality, and retail establishments.","[{'from_id': 49437, 'id': 795, 'to_id': 49439, 'type': 'targets'}, {'from_id': 49438, 'id': 796, 'to_id': 49440, 'type': 'targets'}]","The diagnosis is a targeted cyber attack by two known threat actors, Carbanak and FIN7, on specific industries - banking institutions and food, hospitality, and retail establishments respectively. The entities involved are MITRE, Carbanak, FIN7,","1. Implementing multi-factor authentication for all employees and customers of the targeted industries to prevent unauthorized access to sensitive information. 2. Regularly conducting vulnerability assessments and penetration testing to identify and address potential security weaknesses. 3. Utilizing advanced threat detection and prevention tools, such as intrusion detection systems and firewalls, to monitor network traffic and block malicious activity. 4. Educating employees on cybersecurity best practices, such as avoiding suspicious emails and links, to prevent social engineering attacks. 5. Establishing incident",49437,threat-actor,67,75,49438,threat-actor,109,113,49436,identity,0,5
3173,"What makes BIOPASS RAT particularly interesting is that it can sniff its victim’s screen by abusing the framework of Open Broadcaster Software (OBS) Studio, a popular live streaming and video recording app, to establish live streaming to a cloud service via Real-Time Messaging Protocol (RTMP).","[{'from_id': 48296, 'id': 400, 'to_id': 48297, 'type': 'targets'}]",Malware infection (BIOPASS RAT) targeting software entities (Open Broadcaster Software Studio and Real-Time Messaging Protocol) through a targets relationship.,1. Install and regularly update anti-malware software to detect and remove BIOPASS RAT and other malware infections. 2. Implement network segmentation to isolate software entities and prevent the spread of malware infections. 3. Conduct regular vulnerability assessments and penetration testing to identify and address potential vulnerabilities in software entities and protocols. 4. Implement access controls and authentication mechanisms to restrict access to software entities and prevent unauthorized access. 5. Monitor network traffic and behavior for suspicious activity and anomalies using intrusion detection and prevention systems.,48296,malware,11,22,48298,SOFTWARE,258,293,48297,SOFTWARE,117,148
1569," Bad Rabbit is a ransomware attack that, at the time of this writing, appears to primarily be affecting countries in Eastern Europe.","[{'from_id': 45059, 'id': 75, 'to_id': 45060, 'type': 'targets'}]",Bad Rabbit is a malware that targets locations in Eastern Europe.,1. Implement a robust antivirus software that can detect and prevent the Bad Rabbit malware from infecting the system.  2. Educate employees on the dangers of opening suspicious emails or downloading files from untrusted sources.  3. Conduct regular security audits to ensure that all systems and software are up-to-date with the latest security patches.  4. Use firewalls and intrusion detection systems to monitor network traffic and block any suspicious activity.  5. Implement multi-factor authentication to prevent unauthorized access to sensitive data.  6.,45059,malware,1,11,45060,location,117,131,,,,
3384,BIOPASS RAT Loader  Backdoor.Win64.BIOPASS.A  3195c355aa564ea66b4b37baa9547cb53dde7cf4ae7010256db92fff0bde873d  flash.exe,"[{'from_id': 10232, 'id': 582, 'to_id': 49035, 'type': 'duplicate-of'}, {'from_id': 49036, 'id': 583, 'to_id': 10233, 'type': 'duplicate-of'}, {'from_id': 49036, 'id': 584, 'to_id': 49035, 'type': 'indicates'}, {'from_id': 10233, 'id': 585, 'to_id': 49035, 'type': 'indicates'}]",The diagnosis is that the entity flash.exe has been infected with the BIOPASS RAT Loader backdoor malware (Backdoor.Win64.BIOPASS.A) identified by the hash value 3195c355aa564ea66b4b37,"1. Use antivirus software to detect and remove the BIOPASS RAT Loader backdoor malware from the entity flash.exe.  2. Implement network segmentation to prevent the spread of the malware to other parts of the network.  3. Conduct regular vulnerability assessments to identify and patch vulnerabilities that could be exploited by malware.  4. Implement access control measures to restrict access to sensitive data and systems.  5. Train employees on cybersecurity best practices, including how to identify and report suspicious activity.  6. Use firewalls and",10232,malware,0,11,10233,hash,46,110,49035,malware,20,44
2027,"While the obfuscation and execution may differ between the two, both samples contain very similar core functionality, due to the author copying the leaked Babuk/Babyk source code in order to develop the HelloXD ransomware (Figure 7).","[{'from_id': 47121, 'id': 303, 'to_id': 47122, 'type': 'variant-of'}, {'from_id': 47120, 'id': 304, 'to_id': 47122, 'type': 'variant-of'}]","The diagnosis is that the entity in the second column is infected with the HelloXD ransomware, which is a variant of the Babuk/Babyk malware. The relationship between the entities in the third column indicates that the HelloXD ransomware is a","Potential cybersecurity solutions to solve the HelloXD ransomware infection include:  1. Implementing a robust antivirus and anti-malware solution that can detect and remove the Babuk/Babyk malware and its variants, including HelloXD ransomware.  2. Regularly updating software and operating systems to patch any vulnerabilities that can be exploited by ransomware and other types of malware.  3. Conducting regular backups of critical data and storing them in a secure offsite location to ensure that data can be restored in",47122,malware,203,210,47121,malware,161,166,47120,malware,155,160
13472,"We continue to see attacks from groups like Charming Kitten on medical and healthcare professionals, including World Health Organization (WHO) employees.","[{'from_id': 51544, 'id': 1101, 'to_id': 51545, 'type': 'targets'}]","Targeted cyber attacks on healthcare professionals, including WHO employees, by threat actors like Charming Kitten.",1. Implementing multi-factor authentication for all employees accessing sensitive information. 2. Regularly updating and patching all software and systems to prevent vulnerabilities. 3. Conducting regular cybersecurity training and awareness programs for employees to identify and report suspicious activities. 4. Deploying advanced threat detection and response systems to monitor and detect any potential attacks. 5. Establishing a robust incident response plan to quickly respond and mitigate any cyber attacks. 6. Implementing access controls and permissions to limit access to sensitive information only,51544,threat-actor,44,59,51545,identity,111,142,,,,
3436,"This post is also available in:      日本語 (Japanese)  On May 4, 2022, F5 released a security advisory for a remote code execution vulnerability in the iControlREST component of its BIG-IP product tracked in CVE-2022-1388.","[{'from_id': 49196, 'id': 750, 'to_id': 49195, 'type': 'duplicate-of'}, {'from_id': 49197, 'id': 751, 'to_id': 49195, 'type': 'has'}]","Diagnosis: F5's BIG-IP product has a remote code execution vulnerability in the iControlREST component, identified as CVE-2022-1388. A security advisory was released on May 4, 2022. The relationship between",Potential Cybersecurity Solutions:  1. Apply the security patch provided by F5 Networks to address the CVE-2022-1388 vulnerability in the iControlREST component of BIG-IP. 2. Monitor network traffic for any suspicious activity related to the vulnerability and promptly investigate any anomalies. 3. Implement network segmentation to limit the impact of any potential exploitation of the vulnerability. 4. Conduct regular vulnerability assessments and penetration testing to identify and address any potential security weaknesses in the system. 5. Educate users,49195,vulnerability,206,219,49196,vulnerability,107,142,49193,TIME,53,67
2597,"This initial focus has led to speculation that Lapsus$ Group may be Brazilian, although we understand the choice of targets to have been influenced by extended team members rather than the team leadership.","[{'from_id': 47788, 'id': 356, 'to_id': 47789, 'type': 'located-at'}]","The cybersecurity issue is a potential threat actor, identified as Lapsus$ Group. The entity in question is a location, potentially Brazil. The relationship between the two entities is that the threat actor may be based in or have ties to the location.",1. Implement a comprehensive threat intelligence program that monitors activity related to Lapsus$ Group and other known threat actors in Brazil.  2. Conduct regular vulnerability assessments and penetration testing to identify and address potential weaknesses in the organization's security posture.  3. Deploy advanced endpoint protection solutions that can detect and respond to malicious activity in real-time.  4. Implement multi-factor authentication and other access controls to prevent unauthorized access to sensitive data and systems.  5. Develop and implement an incident response plan that outlines the steps,47788,threat-actor,47,54,47789,location,68,77,,,,
4585,"In March 2021, Microsoft kicked off the patch cycle early after releasing an advisory regarding the mass exploitation of four zero-days vulnerabilities by a Chinese Hacking group, HAFNIUM, on the on-premises versions of the Microsoft Exchange Server.","[{'from_id': 50439, 'id': 971, 'to_id': 50440, 'type': 'located-at'}, {'from_id': 50439, 'id': 972, 'to_id': 50438, 'type': 'exploits'}, {'from_id': 50441, 'id': 973, 'to_id': 50438, 'type': 'has'}]","Diagnosis: The cybersecurity issue is a mass exploitation of four zero-day vulnerabilities in the on-premises versions of the Microsoft Exchange Server. The entity involved is Microsoft, and the threat actor is a Chinese hacking group named HAFNIUM. The",1. Patching and updating the Microsoft Exchange Server to the latest version to mitigate the zero-day vulnerabilities. 2. Implementing multi-factor authentication to prevent unauthorized access to the Microsoft Exchange Server. 3. Conducting regular vulnerability assessments and penetration testing to identify and address potential security gaps in the system. 4. Implementing intrusion detection and prevention systems to detect and block any suspicious activity on the Microsoft Exchange Server. 5. Educating employees on cybersecurity best practices to prevent phishing and social engineering attacks that could compromise,50436,TIME,3,13,50437,identity,15,24,50438,vulnerability,126,151
1712,In this case a legitimate service (Tor) was being abused by CryptoWall so it could avoid having its C2 servers shut down.,"[{'from_id': 5086, 'id': 249, 'to_id': 5085, 'type': 'uses'}]","Abuse of legitimate service (Tor) by CryptoWall malware, using tools to avoid detection and control its command and control servers.",1. Implement network segmentation to isolate infected systems and prevent lateral movement of the malware. 2. Deploy intrusion detection and prevention systems to detect and block traffic associated with the CryptoWall malware. 3. Implement endpoint protection solutions that can detect and block malicious activity on the infected systems. 4. Monitor Tor traffic for suspicious activity and block access to known malicious Tor exit nodes. 5. Implement a threat intelligence program to stay updated on the latest threats and vulnerabilities. 6. Conduct regular security awareness training for employees to,5086,malware,60,70,5085,tools,35,38,,,,
5060,"Recently observed COLDRIVER credential phishing domains: Ghostwriter, a Belarusian threat actor, recently introduced a new capability into their credential phishing campaigns.","[{'from_id': 15623, 'id': 1064, 'to_id': 51165, 'type': 'located-at'}, {'from_id': 15623, 'id': 1065, 'to_id': 51166, 'type': 'uses'}]","Diagnosis: Ghostwriter, a Belarusian threat actor, has introduced a new capability into their credential phishing campaigns, which involves using COLDRIVER phishing domains. The threat actor is located in Belarus and is using this campaign for malicious purposes.",1. Implementing multi-factor authentication (MFA) for all accounts to prevent unauthorized access even if the credentials are compromised. 2. Conducting regular security awareness training for employees to educate them on how to identify and avoid phishing emails. 3. Implementing email filters to detect and block suspicious emails and domains. 4. Deploying advanced threat intelligence solutions to monitor and detect potential threats in real-time. 5. Conducting regular vulnerability assessments and penetration testing to identify and address any security weaknesses in the system,51165,location,72,82,51166,campaign,145,174,15621,threat-actor,18,27
4823,"Ghostwriter/UNC1151, a threat actor attributed to Belarus, has remained active targeting accounts of webmail and social media networks of Polish users.","[{'from_id': 50767, 'id': 1011, 'to_id': 50766, 'type': 'duplicate-of'}, {'from_id': 50766, 'id': 1012, 'to_id': 50768, 'type': 'attributed-to'}]","The diagnosis is that Ghostwriter/UNC1151, a threat actor attributed to Belarus, has been actively targeting the accounts of webmail and social media networks of Polish users. The relationship between the entities is that Ghostwriter/UNC1151 is attributed","1. Implementing multi-factor authentication for webmail and social media accounts to prevent unauthorized access by threat actors like Ghostwriter/UNC1151. 2. Conducting regular security audits and vulnerability assessments of webmail and social media platforms to identify and address potential security gaps. 3. Educating Polish users on cybersecurity best practices, such as creating strong passwords, avoiding suspicious links and attachments, and reporting any suspicious activity to the relevant authorities. 4. Utilizing advanced threat detection and response technologies to monitor and",50766,threat-actor,0,11,50767,threat-actor,12,19,50768,location,50,57
